Animal indexes, Subject Avg Rating, Counts
Trial 1,0.038435,0.845455,
"['24', '50']", -0.65, 29
"['50', '24']", -0.61, 18
Trial 2,0.497905,0.484059,
"['20', '25']", -0.61, 18
"['25', '20']", -0.49, 29
Trial 3,0.572701,0.453046,
"['27', '24']", -0.45, 22
"['24', '27']", -0.33, 26
Trial 4,4.803176,0.033624,SIGNIFICANT
"['50', '27']", -0.22, 23
"['27', '50']", -0.57, 24
Trial 5,0.188581,0.666175,
"['27', '25']", -0.22, 25
"['25', '27']", -0.30, 22
Trial 6,0.000107,0.991783,
"['24', '20']", -0.33, 22
"['20', '24']", -0.33, 25
Trial 7,0.000662,0.979579,
"['24', '25']", -0.24, 33
"['25', '24']", -0.24, 15
Trial 8,3.780443,0.057985,
"['20', '44']", -0.20, 25
"['44', '20']", -0.48, 23
Trial 9,0.588170,0.447046,
"['27', '19']", -0.03, 27
"['19', '27']", -0.21, 21
Trial 10,0.013536,0.907887,
"['28', '19']", -0.42, 22
"['19', '28']", -0.41, 26
Trial 11,1.242593,0.270762,
"['19', '20']", -0.31, 26
"['20', '19']", -0.09, 22
Trial 12,4.845190,0.032780,SIGNIFICANT
"['20', '28']", -0.14, 24
"['28', '20']", -0.40, 24
Trial 13,0.026574,0.871220,
"['50', '49']", -0.06, 28
"['49', '50']", -0.04, 20
Trial 14,0.178240,0.674946,
"['49', '20']", -0.16, 18
"['20', '49']", -0.07, 28
Trial 15,0.276808,0.601329,
"['49', '25']", -0.20, 28
"['25', '49']", -0.11, 20
Trial 16,1.748849,0.145161,
"['28', '49', '19']", 0.08, 11
"['19', '28', '49']", -0.41, 6
"['49', '28', '19']", -0.12, 6
"['28', '19', '49']", -0.82, 6
"['19', '49', '28']", -0.34, 7
"['49', '19', '28']", 0.02, 11
Trial 17,0.494330,0.778622,
"['24', '50', '7']", -0.35, 6
"['7', '50', '24']", 0.05, 10
"['24', '7', '50']", 0.05, 9
"['50', '7', '24']", 0.08, 11
"['50', '24', '7']", -0.22, 6
"['7', '24', '50']", -0.11, 6
Trial 18,1.138716,0.355163,
"['20', '24', '25']", -0.06, 13
