Trial Num, Subject Avg Rating, Osherson Rating
 1, -0.6359, 0.6976, 0.06
 2, -0.5358, 0.5693, 0.23
 3, -0.3858, 0.5624, 0.26
 4, -0.3986, 0.5681, 0.32
 5, -0.2581, 0.5710, 0.40
 6, -0.3296, 0.5967, 0.41
 7, -0.2368, 0.4080, 0.43
 8, -0.3371, 0.5066, 0.48
 9, -0.1058, 0.7872, 0.54
10, -0.4148, 0.5246, 0.57
11, -0.2091, 0.6496, 0.61
12, -0.2680, 0.4144, 0.63
13, -0.0524, 0.6042, 0.73
14, -0.1037, 0.6747, 0.75
15, -0.1616, 0.5663, 0.79
16, -0.2011, 0.7096, 0.14
17, -0.0458, 0.6391, 0.27
18, -0.0283, 0.4963, 0.30
19, 0.0652, 0.5881, 0.31
20, -0.0682, 0.5435, 0.35
21, 0.0944, 0.5897, 0.40
22, 0.0587, 0.5404, 0.47
23, 0.1300, 0.5861, 0.49
24, 0.1031, 0.5990, 0.58
25, 0.0857, 0.5825, 0.62
26, 0.0016, 0.6059, 0.64
27, 0.1205, 0.5789, 0.68
28, 0.1684, 0.5452, 0.70
29, 0.1234, 0.6384, 0.75
30, 0.1155, 0.6561, 0.80
31, 0.0689, 0.7974, -1.00
32, -0.0009, 0.4973, -1.00
33, 2.2742, 1.7427, -1.00
34, 2.3853, 1.2685, -1.00
35, -0.7283, 1.1213, -1.00
36, -0.7965, 0.7619, -1.00
37, -0.0770, 0.5546, -1.00
38, -0.0889, 0.4907, -1.00
39, 1.2496, 0.9880, -1.00
