Animal indexes, Subject Avg Rating, Counts
Trial 0
Trial 1
['24', '50'], 0.42, 4
['50', '24'], 0.44, 1
Trial 2
['20', '25'], 0.42, 5
Trial 3
['27', '24'], 0.67, 1
['24', '27'], 0.39, 4
Trial 4
['50', '27'], 0.44, 2
['27', '50'], 0.44, 4
Trial 5
['27', '25'], 0.51, 5
['25', '27'], 0.22, 1
Trial 6
[], 0.33, 1
['20', '24'], 0.58, 4
Trial 7
['24', '25'], 0.47, 5
['25', '24'], 0.56, 1
Trial 8
['20', '44'], 0.48, 3
['44', '20'], 0.50, 2
Trial 9
['27', '19'], 0.44, 3
['19', '27'], 0.28, 2
Trial 10
['28', '19'], 0.48, 3
['19', '28'], 0.48, 3
Trial 11
['19', '20'], 0.59, 3
['20', '19'], 0.44, 2
Trial 12
['20', '28'], 0.44, 2
['28', '20'], 0.44, 3
Trial 13
['50', '49'], 0.52, 3
['49', '50'], 0.50, 2
Trial 14
['49', '20'], 0.44, 1
['20', '49'], 0.67, 3
[], 0.33, 1
Trial 15
['49', '25'], 0.48, 3
['25', '49'], 0.61, 2
Trial 16
['19', '49', '28'], 0.22, 1
['28', '49', '19'], 0.89, 1
['49', '19', '28'], 0.67, 1
['49', '28', '19'], 0.78, 1
['28', '19', '49'], 0.67, 1
Trial 17
['50', '24', '7'], 0.22, 2
['50', '7', '24'], 0.72, 2
['7', '24', '50'], 0.67, 1
Trial 18
['20', '24', '25'], 0.44, 2
['25', '20', '24'], 0.67, 1
['25', '24', '20'], 0.56, 1
['24', '25', '20'], 0.67, 1
Trial 19
['19', '28', '44'], 0.56, 3
['44', '19', '28'], 0.78, 2
Trial 20
['27', '24', '44'], 0.56, 2
['24', '44', '27'], 0.67, 1
['44', '24', '27'], 0.72, 2
Trial 21
['49', '25', '19'], 0.56, 1
['19', '49', '25'], 0.67, 1
['49', '19', '25'], 0.56, 2
['19', '25', '49'], 0.78, 1
Trial 22
['7', '27', '19'], 0.67, 1
['19', '7', '27'], 0.56, 2
['19', '27', '7'], 0.67, 2
Trial 23
['50'], 0.33, 1
['7', '50', '19'], 0.67, 1
['50', '7', '19'], 0.70, 3
['19', '7', '50'], 0.89, 1
Trial 24
['19', '20', '44'], 0.89, 1
['44', '20', '19', '49', '20'], 0.44, 1
['44', '19', '20'], 0.67, 1
['19', '44', '20'], 0.56, 1
['44', '20', '19'], 0.44, 1
Trial 25
['27', '19', '25'], 0.67, 1
['25', '27', '19'], 0.56, 1
['19', '27', '25'], 0.33, 1
['27', '25', '19'], 0.67, 2
['19', '25', '27'], 0.78, 1
Trial 26
['20', '19', '27', '7', '7'], 0.44, 1
['27', '20', '7'], 0.67, 1
['7', '20', '27'], 0.56, 1
['7', '27', '20'], 0.78, 3
Trial 27
['27', '28', '50'], 0.56, 1
['27', '50', '28'], 0.63, 3
['28', '50', '27'], 0.67, 2
Trial 28
['19', '24', '44'], 0.78, 1
['44', '19', '24'], 0.78, 2
['24', '19', '44'], 0.61, 2
Trial 29
['7', '25', '24'], 0.56, 1
['7', '24', '25'], 0.33, 1
['24', '25', '7'], 0.89, 1
['25', '7', '24'], 0.67, 1
['25', '24', '7'], 0.83, 2
Trial 30
['27', '50', '25'], 0.67, 2
['25', '27', '50'], 0.83, 2
['50', '25', '27'], 0.67, 1
Trial 31
['39', '40', '1'], 0.67, 2
['1', '24', '40', '20', '39'], 0.22, 1
['1', '40', '39'], 0.44, 1
['39', '1', '40'], 0.56, 1
['40', '1', '39'], 0.78, 1
Trial 32
['48', '47', '46'], 0.44, 1
['46', '47', '48'], 0.67, 1
['47', '48', '46'], 0.56, 1
['46', '48', '47'], 0.56, 3
Trial 33
['37', '51', '21'], 1.00, 1
['21', '37', '51'], 0.33, 1
['37', '21', '51'], 0.78, 1
['51', '21', '37'], 1.00, 3
Trial 34
['19', '51', '39'], 1.00, 1
['51', '39', '19'], 0.89, 2
['19', '39', '51'], 1.00, 2
['39', '51', '19'], 1.00, 1
Trial 35
['9', '18', '3'], 0.33, 1
['9', '3', '18'], 0.44, 3
['3', '9', '18'], 0.22, 1
Trial 36
['15', '43', '13'], 0.22, 1
['43', '15', '13'], 0.33, 1
['13', '43', '15'], 0.28, 2
['15', '13', '43'], 0.56, 1
['13', '15', '43'], 0.22, 1
Trial 37
['18', '34', '3'], 0.33, 1
['18', '3', '34'], 0.67, 1
['34', '18', '3'], 0.78, 1
['3', '34', '18'], 0.67, 2
Trial 38
['34', '47', '44'], 0.56, 1
['34', '44', '47'], 0.48, 3
['47', '44', '34'], 0.78, 1
['44', '47', '34'], 0.56, 1
Trial 39
['8', '19', '5'], 0.74, 3
['5', '8', '19'], 0.83, 2
